  ID ObjectType   Material     Para1     Para2    Volume    Weight
  45   Cylinder       Iron     4.000     7.000   351.858  3976.000
  43   Cylinder       Lead     3.000     7.000   197.920  1557.633
  16   Cylinder       Iron     3.000     6.000   169.646  1917.000
   8       Cube       Lead     5.000     0.000   125.000   983.750
  25       Cube       Iron     4.000     0.000    64.000   723.200
   7    Pyramid       Lead     4.000     8.000    42.667   335.787
  33       Cube   Aluminum     3.000     0.000    27.000    72.900
   2       Ball       Iron     2.000     0.000    33.510   378.667
   5       Cube       Lead     1.000     0.000     1.000     7.870
  26   Cylinder   Aluminum    -5.000     5.000     0.000     0.000
  11    Pyramid       Iron     4.000     0.000     0.000     0.000
  19   Cylinder    Unknown     4.000     6.000   301.593     0.000
  21    Unknown   Aluminum     3.000     0.000     0.000     0.000
